ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
6942,3203008,Active,309588,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Franklin Avenue,E,Union Street,President Street,40.6692917546081,-73.9584034524656,"995,789.237408221","183,120.173179567",POINT (-73.958403452466 40.669291754608)
5956,3283054,Active,335073,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,South 2 Street,N,Marcy Avenue,Havemeyer Street,40.7115743687951,-73.9573140996078,"996,083.926451385","198,525.112185895",POINT (-73.957314099608 40.711574368795)
242,4522511,Active,401326,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Metropolitan Avenue,N,72 Road,72 Avenue,40.709997551418,-73.8475975949804,"1,026,501.90662581","197,984.501718566",POINT (-73.84759759498 40.709997551418)
13555,4473127,Active,436296,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Hillside Avenue,N,261 Street,260 Street,40.7374956856042,-73.7080342267733,"1,065,160.82930781","208,101.006091803",POINT (-73.708034226773 40.737495685604)
13217,4113104,Active,448972,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Mott Avenue,S,Beach 19 Street,Cornaga Avenue,40.6033409918096,-73.7513408640069,"1,053,298.28347914","159,187.791910559",POINT (-73.751340864007 40.60334099181)
1164,4152025,Active,414115,12 HR Pas Mon-Sat 0700-1900,,On Street,Queens,Skillman Avenue,E,49 Avenue,Pearson Place,40.7428956377743,-73.9440275937553,"999,760.088062301","209,938.49519898",POINT (-73.944027593755 40.742895637774)
6996,5043040,Active,509463,2 HR Pas Mon-Sat 0800-1900,,On Street,Staten Island,Castleton Avenue,S,Taylor Street,Roe Street,40.634069033253,-74.1225122891313,"950,246.107366055","170,308.602017984",POINT (-74.122512289131 40.634069033253)
8819,1183006,Active,109364,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 80 Street,S,Madison Avenue,Park Avenue,40.7768731639926,-73.9614297401258,"994,932.461234644","222,315.017033815",POINT (-73.961429740126 40.776873163993)
3700,4043068,Active,463408,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,82 Road,W,Queens Boulevard,Kew Gardens Road,40.7122275324156,-73.8270275851719,"1,032,203.10650948","198,807.541082978",POINT (-73.827027585172 40.712227532416)
3237,4033043,Active,405333,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,95 Avenue,N,148 Street,Sutphin Boulevard,40.6988419165495,-73.8054357701298,"1,038,199.82351863","193,943.329354733",POINT (-73.80543577013 40.69884191655)
5866,3493053,Active,337188,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,,On Street,Brooklyn,46 Street,S,11 Avenue,New Utrecht Avenue,40.6392318331685,-73.9946453760799,"985,736.08789514","172,165.816151306",POINT (-73.99464537608 40.639231833169)
9369,1442553,Inactive,102729,3HR Com Mon-Fri 0600-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,West 39 Street,S,5 Avenue,Avenue of the Americas,40.7517210317471,-73.9827709734912,"989,023.572461888","213,149.38346222",POINT (-73.982770973491 40.751721031747)
12819,4073023,Active,423425,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Steinway Street,E,30 Avenue,28 Avenue,40.7650831292006,-73.9139292510035,"1,008,092.46608256","218,028.875999808",POINT (-73.913929251003 40.765083129201)
12623,4760005,Active,469253,4HR Pas Mon-Sat 0700-2200,Rockaway Park,Off Street,Queens,Beach 116 Street,E,Beach Channel Drive,Newport Avenue,40.58091787747,-73.8371096916557,"1,029,497.00923139","150,962.549830899",POINT (-73.837109691656 40.58091787747)
3439,4203018,Active,425378,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,62 Street,W,Woodside Avenue,43 Avenue,40.7443069979869,-73.9023854722818,"1,011,298.64306913","210,462.814360306",POINT (-73.902385472282 40.744306997987)
10849,1433149,Active,105365,3HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,West 56 Street,S,7 Avenue,Broadway,40.7651553930792,-73.9813820135565,"989,407.365329474","218,044.03869915",POINT (-73.981382013556 40.765155393079)
5266,3153024,Active,310739,2 HR Pas 0800-1900 Mon-Thur/4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,Coney Island Avenue,E,Avenue L,Avenue K,40.6216854008864,-73.9644605685689,"994,115.978615642","165,775.13733165",POINT (-73.964460568569 40.621685400886)
3513,4293067,Retired,422938,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Liberty Avenue,N,123 Street,121 Street,40.6873823629766,-73.8213965290191,"1,033,782.65682806","189,758.858721063",POINT (-73.821396529019 40.687382362977)
11791,1193014,Active,114789,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 80 Street,S,Lexington Avenue,3 Avenue,40.7754687235909,-73.9581017754107,"995,854.422645301","221,803.755589142",POINT (-73.958101775411 40.775468723591)
9317,1043066,Active,106123,2HR Pas Mon-Fri 1000-1400 /2HR Pas Mon-Fri 1900-2200 /2HR Pas Sat 0900-2200,,On Street,Manhattan,2 Avenue,W,East 17 Street,East 15 Street,40.7336507290107,-73.9841068296606,"988,654.647018641","206,565.727010146",POINT (-73.984106829661 40.733650729011)
2085,4081940,Active,418076,2 HR Pas Mon-Fri 0900-1600 /2 HR Pas Sat 0900-1900,,On Street,Queens,153 Street,W,88 Avenue,Hillside Avenue,40.7068549601058,-73.8043858821183,"1,038,484.42235889","196,863.3615724",POINT (-73.804385882118 40.706854960106)
12620,3073090,Active,310786,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,19 Avenue,E,86 Street,85 Street,40.606205127875,-74.0000801637881,"984,227.740846217","160,133.268037975",POINT (-74.000080163788 40.606205127875)
3412,4203005,Active,413315,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,43 Avenue,N,51 Street,52 Street,40.7443397359576,-73.9129869546649,"1,008,360.99868198","210,471.646035567",POINT (-73.912986954665 40.744339735958)
1341,3631604,Active,304672,"2 HR Pas Mon-Sat 0800-1900 Jan-May, Sept-Dec /2 HR Pas Mon-Sat 0800-2400 June-Aug",,On Street,Brooklyn,Surf Avenue,S,West 12 Street,West 10 Street,40.5753550500704,-73.9781369214183,"990,323.546567976","148,894.562168971",POINT (-73.978136921418 40.57535505007)
7721,2323255,Active,203367,2 HR Pas Mon-Sat 0900-2200,,On Street,Bronx,Pelham Parkway,N,Wilson Avenue,Eastchester Road,40.8575031120873,-73.8470732526833,"1,026,553.45343871","251,725.985114649",POINT (-73.847073252683 40.857503112087)
4703,3149818,Active,310466,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,5 Avenue,W,11 Street,12 Street,40.6676657926048,-73.9876688205018,"987,670.857975721","182,525.290182978",POINT (-73.987668820502 40.667665792605)
2473,4173056,Active,465917,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,68 Drive,N,Yellowstone Boulevard,Queens Boulevard,40.7246032287746,-73.8494388922259,"1,025,982.28135271","203,304.90577589",POINT (-73.849438892226 40.724603228775)
1829,3013549,Active,300083,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,Henry Street,E,Montague Street,Remsen Street,40.6945592150382,-73.9943618286893,"985,813.484393895","192,323.150180399",POINT (-73.994361828689 40.694559215038)
14888,4063154,Active,431905,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,146 Street,E,Northern Boulevard,35 Avenue,40.7652669177884,-73.82066571786,"1,033,927.2421688","218,134.973884732",POINT (-73.82066571786 40.765266917788)
14859,3153083,Active,309009,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Newkirk Avenue,N,Marlborough Road,East 16 Street,40.6356539254531,-73.9631579003925,"994,475.467397973","170,864.392573059",POINT (-73.963157900392 40.635653925453)
11121,1433763,Active,105646,1 HR Com Mon-Fri 1000-1600 /5 HR Pas Mon-Fri 1900-2400 /5 HR Pas Sat 0800-2400,,On Street,Manhattan,Madison Avenue,W,East 49 Street,East 50 Street,40.7574849143713,-73.9759753567047,"990,905.828867972","215,249.79625614",POINT (-73.975975356705 40.757484914371)
2337,5053316,Active,502056,2 HR Pas Mon-Sat 0800-1700,,On Street,Staten Island,Brower Court,S,Nelson Avenue,Giffords Lane,40.5510337263926,-74.1508691001288,"942,323.438172057","140,069.058166474",POINT (-74.150869100129 40.551033726393)
